,ERR10082910,ERR10083185,ERR10082717,ERR10083228,ERR10083008,ERR10082679,ERR10083238,ERR10083036,ERR10083253,ERR10082874,ERR10083247,ERR10083101,ERR10083080,ERR10083202,ERR10083000,ERR10083215,ERR10083027,ERR10083186,ERR10082834,ERR10083108,ERR10083006,ERR10082766,ERR10083774,ERR10082806,ERR10082884,ERR10082990,ERR10082872,ERR10083218,ERR10083258,ERR10083252,ERR10083540,ERR10083542,ERR10083541,ERR10083471,ERR10083524,ERR10083523,ERR10083484,ERR10083459,ERR10083457,ERR10083439,ERR10083544,ERR10083494,ERR10083490,ERR10083473,ERR10083498,ERR10083519,ERR10083478,ERR10083419,ERR10083495,ERR10083511,ERR10083493,ERR10083564,ERR10083559,ERR10083500,ERR10083552,ERR10083455,ERR10083510,ERR10083491,ERR10083366,ERR10083530
ERR10083247,118614.66773127175,51595.88097900839,100252.02632864834,33907.73907237108,134493.49148564774,53416.22341573766,109918.62707021044,76535.43951007271,45584.96100689349,168311.26718672164,0.0,135688.0474323365,161193.73548001176,115508.97441324635,139908.80737823478,40239.56494546132,98184.29765497129,43013.08804305964,63024.48762980942,60142.29969829887,67761.5931114374,132601.29792728275,40495.509257200356,184817.88272513024,82051.7585551949,152820.4556628464,144765.2499324337,67474.9832085937,53977.32262719225,112251.44337602078,151541.76334265087,81016.30838911385,149388.30467275542,74873.6037131912,70774.40617907012,61481.4934675468,74695.59432121817,95687.72882141158,64728.30645861206,67608.36892722675,149467.17875172463,64388.20176864703,146861.59278041348,73221.78902485243,65983.24386539358,69181.24333227902,155147.38750942601,145157.90939525134,94110.6871933257,71810.96426730392,71554.89486401332,143377.40275929117,68286.95897460949,163963.68280201565,86940.25034470513,121132.23480147636,136231.2068800684,90396.77058390969,118147.2916024739,68485.95580847215
ERR10083101,232168.37986039356,104250.25623949325,87871.38813629838,114650.07081986473,85753.6558054524,92920.18657966632,98714.82755391917,69482.15516951097,102077.8716764804,78934.68308671417,135688.0474323365,0.0,50043.81032655287,38464.86110724956,30876.134894121707,131735.50461815525,65208.50953671614,103113.25395408682,89062.83091727996,98506.50028805206,80194.17781235742,237334.01103086764,126064.32502496493,87734.14714351534,65542.18234084062,75276.39796775613,72463.5109555147,92907.379938302,109241.66325170996,177302.6153163004,55290.98656200665,98404.47199695754,73706.56137007072,107450.46023633402,99910.55309625705,117594.8332751061,106152.6789440568,90960.87973958915,111049.31566200667,130720.22468233445,66314.47312615851,116427.34470475568,51553.27260223157,107146.93899500815,116145.95918498414,113902.95557622725,59208.52056081118,63609.55781956042,73006.24860928001,86108.50200183487,109798.45740719675,49933.794828753,103850.65761948742,59949.24172998354,91662.42261690447,50102.766789869,53989.22690685615,86707.47393391184,68672.5529087131,88602.46157415718
ERR10083080,254976.50605300872,134219.2575527074,106357.80913031257,139369.35670010105,91887.30188660455,116564.41078648319,117437.11959597783,95254.8890976206,128752.98984489642,64207.12105366507,161193.73548001176,50043.81032655287,0.0,61159.6034977337,37993.05973464101,159131.9299166575,86293.14679625492,127520.3976115194,117593.17558004802,124690.11363777002,104096.92632830232,263989.50821955025,149916.99791551323,84564.3436266137,89113.93409562838,58800.765139579606,74777.26455280375,124832.82461356068,136744.32639053074,201120.09248705112,47182.238511965494,118495.48506588764,58718.4477911329,126264.66053096567,115708.13589372183,139049.32968914305,123806.99709224839,108021.2016828178,135020.70983741718,151470.26414778578,47340.337028796064,134193.57562491583,48839.02400744716,125404.08242158627,133477.1752810195,133266.09701270613,48193.593153032285,50817.009514531645,85440.81852370096,107256.50914047129,127360.81956787182,42339.58474052385,124071.12976837117,50256.76157493636,109068.26932705955,59537.2206774888,47769.593885650735,105004.20737284768,69309.06978888117,110172.86908762973
ERR10083202,211742.57726541444,88335.05004243786,81558.70112379182,96398.66175938337,87451.36212775648,76212.55622271175,92905.1475376903,48820.68693699424,84405.69733140056,92745.7687444554,115508.97441324635,38464.86110724956,61159.6034977337,0.0,40417.02670904924,112751.39621751918,54938.99931742478,83399.51729476616,66671.17982306897,77338.15070843109,62425.243091236734,218983.08883107846,106234.03170359299,105236.34770838448,46791.16841883733,82928.15368136445,80859.01687505234,73662.15821573517,92029.127617293,163686.31561618095,61690.80622750849,84029.45254492617,79270.538493188,92520.92553039014,84606.25395323918,101608.98923323664,90806.0232308408,81000.87750759248,93533.55758763803,115055.72666755879,67604.79000780935,100359.5301653012,55811.97744212258,93484.63547556892,100784.94562681472,100002.77628646117,65336.51401016127,70127.39061165758,63060.01052965342,65992.73015264636,94596.37007306359,53353.69820359223,89296.24093991863,70580.08349385824,79044.7141180231,42924.288439064425,52574.894617107886,77619.54905821085,64998.45131231974,68845.62704340777
ERR10083000,232664.1351669827,110102.03535811679,89041.17015740527,118451.6815541257,85273.73340015083,97597.3363161106,102564.79282385355,71525.37254009936,105747.64196898199,74847.90424587719,139908.80737823478,30876.134894121707,37993.05973464101,40417.02670904924,0.0,135675.38951114164,62967.812555304794,106787.5182453455,93883.60754146594,100012.45471939983,85072.52125686649,241081.15290084374,128288.80672919209,88044.37812262632,70019.79271605994,70469.15436558041,70540.03636233823,98318.5002682608,113017.03017687201,181819.52548062598,53115.85511878727,96920.70453210708,66215.00746054477,106558.32915825961,99084.4761100345,118573.25607825737,104462.27233312513,88864.61301890646,112201.95480026184,130876.10788451802,52392.2333748047,116048.00833706712,50755.30736780145,106908.26909084254,116129.093275544,113928.64519075086,57317.86122143777,55175.3377153235,71574.9294515894,85801.62109773917,110460.65747133683,43786.54526221497,103865.50167403997,59591.94207273329,89199.19719369676,48802.544359899926,47992.539732754296,85589.53239736738,62429.1353696333,89078.39976672234
ERR10083215,116762.63884479487,41436.42418211301,97943.57977938115,37993.30375210874,136691.81026308783,63790.86976205921,112373.83206957036,74223.53792429999,43171.460677164956,169439.46267915276,40239.56494546132,131735.50461815525,159131.9299166575,112751.39621751918,135675.38951114164,0.0,89801.35028494839,43491.422740581846,63579.879679030535,54971.878883661964,72834.85967584478,134683.22650946554,38447.608781301344,179720.7060302179,86866.53585242132,156602.9418178343,143043.6032788604,57666.226961714776,35467.53305489402,118312.62414045256,153379.84670092745,69477.10467484954,152006.22639221066,69585.46530705964,76091.6028415751,58835.229395320624,71648.78241812627,84545.27957254622,53982.022711269354,56533.53735615701,149206.92049298517,66732.40057123677,148175.3243053647,66837.54554889041,64091.64087461016,63723.47233162989,157585.95610650082,143587.8625894264,97348.90812433389,70980.81746500247,66183.66431378668,143936.66966760068,61795.28209337668,165126.224570781,76692.18152458567,122420.78951305615,138497.85338047662,81667.37532821782,118443.1427901168,68838.66316249903
ERR10083027,179200.31187193844,72293.71848231352,69337.66857199627,78173.59274716751,92560.4290504317,70287.33582943659,93540.89415330601,42541.07073170585,63342.35131410895,106649.56936621919,98184.29765497129,65208.50953671614,86293.14679625492,54938.99931742478,62967.812555304794,89801.35028494839,0.0,70128.54582122747,64566.468162661644,58224.393539134435,65780.02010489203,195303.2065379368,83113.65396852673,121569.41157626781,53663.16194560287,98563.40646000422,87402.54339548707,60612.15501036075,69174.87922649378,149844.29140944942,93652.24398272579,50753.27921425374,89277.66776187648,60458.19778160775,64183.56158706059,71998.1893452884,59582.198692226855,54919.757291889044,63406.251119270564,83859.84816943089,79021.44445655243,71959.0952069299,89909.32206395509,67790.22951723942,76145.92144691665,71690.08492811261,99172.1692260485,79806.74188312664,55739.59092063737,53091.86089223093,74653.48007293431,81250.74388582545,60433.22880667556,104955.36881932244,48969.849336096595,69644.50383196078,79703.96868412514,48963.179349384576,60423.487610365555,56109.27526710713
ERR10083186,145168.55233141923,34463.424597680365,78072.23539773919,26154.190945238584,109789.52373974487,32498.340188385006,91146.45224033682,49105.095743720936,29756.66528695714,138418.27146370526,43013.08804305964,103113.25395408682,127520.3976115194,83399.51729476616,106787.5182453455,43491.422740581846,70128.54582122747,0.0,43042.89325777253,44714.73642995115,39919.05875643864,157504.16641155878,41482.00256737854,153131.46496393223,55147.46883584051,123298.26028780779,115703.32986133113,50017.64886517558,36729.61762665111,121408.98943241395,119568.55333238753,61328.74308185355,120823.76773631916,61404.5482354524,55498.32093856534,55810.17468168327,61323.76469200174,70563.33614562168,53533.74645959313,62419.32502038131,118845.20158172143,57635.379099993785,114622.92698670716,56078.096285448206,54055.95140222767,57210.005226358786,123256.04787595617,113104.59587921262,68576.49269975828,48289.90428650693,54094.02451287943,110780.37508060712,51524.76686992383,131491.7689477178,62912.86603708338,89491.58100626002,104616.83733988521,65824.34685585569,90071.58829508892,45920.9476600821
ERR10082834,158691.74119027113,49053.28312152001,81253.42624160534,52958.50551139071,109758.88175906312,47634.5483551592,91247.75420798037,33052.01600507902,46616.203974583776,137631.3306663857,63024.48762980942,89062.83091727996,117593.17558004802,66671.17982306897,93883.60754146594,63579.879679030535,64566.468162661644,43042.89325777253,0.0,33263.39901453247,44261.48354946996,166103.08085944704,60525.16037979577,149104.42486391877,42441.14247990975,124430.49569136981,114626.05149354138,33849.74321911467,53202.44183305875,127114.39659220351,110123.32889083948,69313.04369308853,121383.97475779083,74082.39742340957,68421.1054207691,70394.68641879158,72576.39049994151,78595.208759822,61686.67927518874,80774.19097706891,114003.54681763196,73929.95245500974,103797.37139735284,72970.9956284002,74953.81847511172,74482.53603362334,114147.71716508394,112732.78380755085,73292.59699996992,46288.20385368177,72179.33646134468,101880.11577830093,65556.3900089076,120788.752485486,71802.35190437706,79938.92746966274,96936.03222228563,74367.28760012698,93239.62564274912,44318.00157949363
ERR10083108,143194.50476187974,49895.670042599886,81996.90059996171,49680.20738684572,115395.75665075384,55215.97170203563,98285.14689412637,37377.85189119353,39967.603393248384,144152.8372561567,60142.29969829887,98506.50028805206,124690.11363777002,77338.15070843109,100012.45471939983,54971.878883661964,58224.393539134435,44714.73642995115,33263.39901453247,0.0,57787.33748841523,157923.52253860096,49291.8610015893,156766.2560565889,56078.713100426976,131978.69681126572,119637.46192142325,34175.97606506653,44873.267955432,125996.4941536073,122828.83662235021,54540.58386192799,124093.80272197319,59550.975054989656,60845.89137320613,55374.2318411732,57787.376199304985,68737.41145838996,47037.04982245379,64975.08322426375,117038.85390330854,61035.87399226786,117305.32247515455,61853.434480229145,65094.203121322564,60685.36662161645,127490.63158522669,115627.87736960321,73016.04753066273,46873.89757636973,65784.6933260314,112367.1566295063,52778.33008915686,134557.38344290142,60458.362258665264,92168.0011663484,107687.33057792825,64222.81779087554,92166.41878688788,46125.68930650251
