k1,k2,k3,k4,k5,k6,k7
-0.045906942755983594,-0.06389235213626944,-0.07725315026290772,-0.06842287776202383,0.022244132006795373,0.005817436611346635,-0.0008845169606448459
-0.03775520917625872,-0.06157079729381745,-0.07800932683535548,-0.06961872676579178,0.02342020559520524,0.006210624720910772,-0.000569925112137631
-0.042920235143195304,-0.061163906417261035,-0.07807857676120304,-0.06914060157619266,0.023580044882393358,0.0056155616520393225,-0.0015567980005432665
-0.05192144231302068,-0.06445710191309734,-0.07994773338122038,-0.07040196228738328,0.021665472015243072,0.006402161775394858,-0.0013211398101701396
-0.058761407187446935,-0.06953034813084281,-0.0794229132332163,-0.06962132399033477,0.022732758826429233,0.0055533978621847314,-0.0009278363842366411
-0.059364097978168065,-0.06908238295949273,-0.08006874035182342,-0.07003204533923116,0.022197586670848615,0.0045773640770273285,-0.0015072209115355884
-0.06654117867985618,-0.06614054300916203,-0.08020058035401108,-0.07059920790182421,0.023183429166585206,0.005302148396461557,-0.000991561944102258
-0.06138665607181094,-0.06779323258868221,-0.08033357383405731,-0.07129327830055349,0.02367897501512236,0.005329262776402186,-0.0016576822708133303
-0.05133084611380325,-0.066717493010322,-0.0793495155076286,-0.07154274250649434,0.024570912837673795,0.0058754325327818446,-0.001464181337999394
-0.05319793662252356,-0.0665870103152028,-0.0800435173904978,-0.07313767540437222,0.024442873930980245,0.006168490338445635,-0.0016367293944096212
-0.05701879533347671,-0.06467345364999295,-0.0804882014393685,-0.07221498980004708,0.025595053663087872,0.006235106781412439,-0.001496968353472017
-0.05582659458646717,-0.06679176282409591,-0.08058528413170468,-0.07413537928310351,0.02668453021103768,0.006629900597180567,-0.0014092764541933274
-0.0628916150768427,-0.0698535127870674,-0.08065388064890613,-0.07345670162481821,0.02647488871324811,0.007006866038554126,-0.0014008385437828126
-0.07015553997522475,-0.0717310607157179,-0.08190492903608404,-0.07399445984625362,0.025799697946331093,0.007334479723423741,-0.0017224903825037532
-0.07734874887589423,-0.07333505661399539,-0.08153606161441349,-0.07509098708021217,0.0256481857670526,0.006995127416537834,-0.0014834478264191223
-0.0796526332463425,-0.0747199861932577,-0.08090497266765792,-0.07506192632398584,0.025294222567495292,0.006733367368599741,-0.0015622876254121091
-0.07856674562864384,-0.07284881597590243,-0.08315008502435213,-0.07542728193020869,0.02733758119396975,0.00639953255535712,-0.0021991802704735388
-0.07259896172782118,-0.0732964764333622,-0.08192216349712178,-0.0754993586523467,0.02644963662248005,0.007473889354704732,-0.001801933387832741
-0.06593899987448565,-0.06782354127859776,-0.08238787776493482,-0.076746509193832,0.02700432403140956,0.007920265427554616,-0.0016950533504494168
-0.059165578264171445,-0.06662660385572905,-0.08142856808916375,-0.07812748088318752,0.028959465428359775,0.008584852562410908,-0.0024643179543246616
-0.050526574819496496,-0.06429681767193655,-0.0796193141329344,-0.07723547316148688,0.0302547558612132,0.00930713191844927,-0.0020752025501515766
-0.044430830688350735,-0.06042399098450616,-0.08022224914400194,-0.07990897341313498,0.029104383782094092,0.010113811749279602,-0.0026728294901131916
-0.04363859117125584,-0.06134206210944389,-0.0807296106365457,-0.08023849718109671,0.031628926570309655,0.010856025985584663,-0.002426987126096478
-0.04141743391219617,-0.061087488840218376,-0.08053424447109656,-0.08113568504032015,0.03365624263878569,0.010467629859682203,-0.0030194909598190646
-0.042780941715973166,-0.0612409046541878,-0.0801418462628908,-0.08043777286276599,0.03286237546802457,0.009277000068414068,-0.0029300343576308526
-0.043631091539483684,-0.059891743576702704,-0.0813771607668788,-0.08161501145221293,0.03359088904447768,0.011370815972352247,-0.003241386408474658
-0.0442905028458974,-0.05961845263706803,-0.0818331956940909,-0.08162320446927118,0.034422958750425725,0.011326602314795174,-0.0030407698774044373
