k1,k2,k3,k4,k5,k6,k7
-0.06024217584050033,-0.050070836051969804,-0.035708149501052014,-0.02277691356512771,-0.027615553862911583,-0.05284147016642874,-0.047381801528057065
-0.055630803722455255,-0.043332781313889616,-0.024582460291512016,-0.015105473236634104,-0.0181958193131874,-0.025974760166203953,-0.021362673819238506
-0.05788697501452959,-0.03632828925469219,-0.0252654518434589,-0.02167706591405546,-0.015021374486835838,-0.022572004692208086,-0.01945943323786107
-0.07247579390600818,-0.045044866512129716,-0.01693605468930659,-0.012578350390804294,-0.005473489172970357,-0.0010301180107221758,-0.008412522687992472
-0.07001230613685834,-0.034115159799847826,-0.017352893498486142,-0.01508416503554037,-0.005694588301601959,-0.004818541866868199,-0.007846046075316528
-0.05211763099396677,-0.03676314618594332,-0.01805298360263234,-0.013599417179996801,-0.010839311105514643,-0.026476408628321273,-0.020326555556048446
-0.05079682267628947,-0.030153221903829866,-0.011970404331456241,-0.008360075548047255,-0.013577955516188872,-0.028222169619863856,-0.016882980548988645
-0.04372233523821152,-0.03172241254883864,-0.008970598458890082,-0.0076273430848638225,-0.009850230659551363,-0.016767189785177213,-0.015571570234468998
-0.04242459218125397,-0.03212085054216889,-0.009883519408306646,-0.00526878728918834,-0.009332152417342546,-0.024215177060971857,-0.016473305620942603
-0.039897427395048875,-0.03435512022953949,-0.004971852020159241,-0.006056432517817723,-0.010600637296287851,-0.01855848504518598,-0.002483902327644628
-0.04795934170701249,-0.023068396821529003,-0.012878297913804015,-0.005840001190356849,-0.007881011281668562,-0.018187485318248688,-0.010620446859430702
-0.04933770426662519,-0.027704689282520956,-0.013855766971821296,-0.007147103381447768,-0.00940110286181575,-0.026143992410009892,-0.013046042693720634
-0.04289739583082811,-0.024244668605868797,-0.011574848842998163,-0.005270289621280941,-0.012982594657726344,-0.03167038834320284,-0.022959871112069326
-0.03153520696767307,-0.016341905817585017,-0.004024356141006352,-0.001981963491608677,0.0011032455249370783,0.0011462074547319743,0.003341069947307267
0.07745916683225629,0.05194843860416112,0.0452100231336681,0.037606043078721445,0.03666880369519573,0.10469657807885849,0.09507069914708294
0.2134181719021039,0.2005187734509765,0.1471309838121989,0.10345294919009052,0.13083432881156723,0.25875984114986045,0.25221902526288814
0.23911109895546223,0.2081174116129425,0.15290041741868532,0.10731120547883993,0.12895793253374588,0.2737144643989032,0.2613227384638786
0.24958491719186776,0.22088843500820532,0.17592738572610794,0.1313348476222682,0.158177009723652,0.3446621641051472,0.3531996584965167
0.24533355495202724,0.23871423835353317,0.18633265513261907,0.13332794269739004,0.16199864693911337,0.34889169577751145,0.37145687690364515
0.24952525094366756,0.21698410020868367,0.17623409769270362,0.12730611467588274,0.1418077940120445,0.29909236451288534,0.3168682717082696
0.24189813238141855,0.21260594792025012,0.1714663683848634,0.12133032443326551,0.1357605473150024,0.2974830029472218,0.31028160774915275
0.22061168490192815,0.19951849549932021,0.1575993749751853,0.11824984887235815,0.13515939235518615,0.30479401326417555,0.32704314395457157
0.2281851211727149,0.22634527221493755,0.185158663949902,0.1389306951868401,0.16763096563640667,0.37751433666458406,0.40595463702494605
0.21758089335781527,0.17524912744986926,0.14824443065044843,0.10650185100008572,0.12619433675512978,0.2647506089365714,0.2599269847857177
0.09102281855485383,0.062062300651328596,0.026315809669973697,0.020999752067728583,0.025006531057609846,0.051248572105866655,0.03506578121093723
0.1180159401214696,0.0835815877516086,0.05254303662447102,0.03564587819722528,0.04309848052123566,0.12106587189946333,0.0753805294607919
0.12206972116155926,0.09107552368055455,0.05665153559431884,0.03885450479660753,0.04982406668244734,0.13292213110613066,0.09843861408791683
0.09264533478345494,0.06063373084511294,0.02136663439979835,0.01838104780478029,0.02910465665461104,0.07263790767800775,0.057427278911560714
0.11094570197993214,0.09653828850255247,0.06551093207515571,0.048987387952610706,0.05720843799956695,0.15315977334016592,0.1311449608692143
0.07807636505303406,0.06359518482013363,0.016398005376411735,0.018804076039126875,0.033800204425602685,0.08025725343147279,0.058969561026477615
