k1,k2,k3,k4,k5,k6,k7
0.004851365628275851,0.02522900420681659,0.07131200218034688,0.0953223036380239,0.08298440247169328,0.018572048505127742,0.004458738993654364
0.09742876943751913,0.1660562681802225,0.2091380765958065,0.2356537533630017,0.2482368407681834,0.04067547376993344,0.008300760733369618
0.10386840563617543,0.15690520914790929,0.2171821608303855,0.2401017733648992,0.24971926001617392,0.043054789505392356,0.008048750107357441
0.0888429000556277,0.15996884215063403,0.23830097684587467,0.28888096710938244,0.30323053544580236,0.05368940971342579,0.014485630859106308
0.09749911990976101,0.16226116975938615,0.24459924976085307,0.29725626371586067,0.30004201761603516,0.05293851622709988,0.012969595223036975
0.10394123601845927,0.15999264664657467,0.23352418887361548,0.2739087196216153,0.2717812623063777,0.04383885662950914,0.009500156749123771
0.10208494379378241,0.1550507044933399,0.2283894265008758,0.2605832311439316,0.2648354603598445,0.04658772563247352,0.007799094819355385
0.10209189423759513,0.15456761669295768,0.22196166110739768,0.2625304654353202,0.2622532796379009,0.04721558399384097,0.011190383187376082
0.09262621083726263,0.15534376409735684,0.24395572735680113,0.3045639824680951,0.32018577356369526,0.059083438071332636,0.014797211458739357
0.09321198457602903,0.1474221666391716,0.21177040296870894,0.2511105261383718,0.25209014919732625,0.04480298823934488,0.0076337697848043095
0.1260662366429238,0.1273267186537241,0.11018794804745369,0.09354425356011588,0.06560750353323386,0.01222449726444683,0.0013935461373598013
0.10843696780410522,0.13419147856844094,0.13743082690984595,0.1312560207726993,0.10346018518970855,0.02240504956095124,0.0029114986020014914
0.10652569223693056,0.13500242367023968,0.1429980608908827,0.147265875907277,0.11640667815882957,0.025351328679975794,0.005911316289241273
0.10183997811896278,0.11974260970647302,0.12195994144947846,0.10345647071168057,0.07466337143856236,0.016968974452552472,0.0021481186072658362
0.09042397626720006,0.12014199569703098,0.1605026933976539,0.1674595165055546,0.13862829174486088,0.03566505131143118,0.00872845507006929
0.11063308740085198,0.12654684399022134,0.13109775528040313,0.11294975029544128,0.09689285551922906,0.0220544918902265,0.004723324899893515
